date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:53	278/278	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202023%2000:51:52%20GMT	http://89.116.225.202:8000/robots.txt		(from )
21:51:53	38292/38292	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jan%202023%2000:51:53%20GMT	http://89.116.225.202:8000/	/home/jackson/websites/epf/89.116.225.202_8000/index.html	(from )
21:51:54	5842/5842	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jan%202023%2000:51:54%20GMT	http://gmpg.org/xfn/11	/home/jackson/websites/epf/gmpg.org/xfn/11.html	(from http://89.116.225.202:8000/)
21:51:55	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2009%20Jan%202023%2000:51:55%20GMT	http://89.116.225.202:8000/xmlrpc.php	/home/jackson/websites/epf/89.116.225.202_8000/xmlrpc.php	(from http://89.116.225.202:8000/)
21:51:56	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-5ed33192c4540-gzip%22	http://89.116.225.202:8000/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	/home/jackson/websites/epf/89.116.225.202_8000/wp-includes/css/dist/block-library/style.min6a4d.css	(from http://89.116.225.202:8000/)
21:51:57	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ebdc1e39f300-gzip%22	http://89.116.225.202:8000/wp-includes/css/classic-themes.min.css?ver=1	/home/jackson/websites/epf/89.116.225.202_8000/wp-includes/css/classic-themes.min.368b3.delayed	(from http://89.116.225.202:8000/)
21:51:57	5387/5387	---M-Z	200	added ('OK')	application/rss+xml	etag:%22819b7252806a0ea698f5f57158e28a9e-gzip%22	http://89.116.225.202:8000/?feed=rss2	/home/jackson/websites/epf/89.116.225.202_8000/indexd784.html	(from http://89.116.225.202:8000/)
21:51:57	1689/1689	---M-Z	200	added ('OK')	application/rss+xml	etag:%22819b7252806a0ea698f5f57158e28a9e-gzip%22	http://89.116.225.202:8000/?feed=comments-rss2	/home/jackson/websites/epf/89.116.225.202_8000/indexa6da.html	(from http://89.116.225.202:8000/)
21:51:58	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202023%2000:51:57%20GMT	http://fonts.googleapis.com/	/home/jackson/websites/epf/fonts.googleapis.com/index.html	(from http://89.116.225.202:8000/)
21:51:58	138778/138778	---M-Z	200	added ('OK')	text/css	etag:%2221e1a-5f1c5eb608579-gzip%22	http://89.116.225.202:8000/wp-content/themes/education-soul/style.css?ver=1.2.3	/home/jackson/websites/epf/89.116.225.202_8000/wp-content/themes/education-soul/style9632.css	(from http://89.116.225.202:8000/)
